PM10,EPA_index,CO,temperature,humidity,PM25_lag_1,PM25_lag_2,PM25_lag_3,PM25_rolling_mean_3,PM10_rolling_mean_3,CO_rolling_mean_3,PM25_rolling_mean_6,PM10_rolling_mean_6,CO_rolling_mean_6,PM25_rolling_mean_12,PM10_rolling_mean_12,CO_rolling_mean_12
42.8,2,1174.9,32.4,54,29.9,19.7,82.8,23.03333333333333,46.76666666666667,1255.0333333333333,33.983333333333334,60.61666666666667,1713.4333333333334,30.51666666666667,59.375,1587.7083333333333
91.6,3,3418.0,30.3,75,19.5,29.9,19.7,37.03333333333333,63.633333333333326,2038.3333333333333,38.81666666666667,66.23333333333333,1998.2666666666667,33.96666666666667,63.23333333333334,1774.6333333333332
42.9,2,1268.4,31.3,71,61.7,19.5,29.9,34.5,59.099999999999994,1953.7666666666664,39.31666666666667,66.78333333333333,2013.8500000000001,34.9,64.14166666666667,1819.1416666666667
51.8,2,1762.4,32.4,56,22.3,61.7,19.5,38.26666666666667,62.1,2149.6,30.650000000000002,54.43333333333333,1702.3166666666668,35.99166666666667,64.63333333333334,1881.4499999999998
25.5,1,854.5,27.7,74,30.8,22.3,61.7,22.099999999999998,40.06666666666666,1295.1000000000001,29.566666666666666,51.849999999999994,1666.7166666666665,34.225,61.90833333333333,1801.3416666666665
57.0,2,2002.7,27.1,89,13.2,30.8,22.3,27.266666666666666,44.76666666666666,1539.8666666666668,30.88333333333333,51.93333333333333,1746.8166666666666,33.69166666666666,59.04999999999999,1779.0833333333333
34.7,2,1094.8,30.4,75,37.8,13.2,30.8,23.833333333333332,39.06666666666667,1317.3333333333333,31.049999999999997,50.583333333333336,1733.4666666666665,32.516666666666666,55.6,1723.4499999999998
41.6,2,1081.5,30.0,66,20.5,37.8,13.2,25.66666666666666,44.43333333333334,1393.0,23.88333333333333,42.25,1344.05,31.349999999999998,54.241666666666674,1671.158333333333
25.0,1,854.5,29.4,79,18.7,20.5,37.8,17.2,33.76666666666667,1010.2666666666668,22.233333333333334,39.26666666666667,1275.0666666666666,30.775000000000002,53.025000000000006,1644.4583333333333
29.2,2,974.7,27.0,89,12.4,18.7,20.5,15.799999999999997,31.933333333333334,970.2333333333332,19.816666666666663,35.5,1143.7833333333333,25.233333333333334,44.96666666666667,1423.0500000000002
