temperature_celsius,humidity,air_quality_PM2.5,air_quality_PM2.5_normalized,temperature_celsius_normalized,humidity_normalized
29.2,79,16.5,-0.6876428114678487,-0.47909244490209074,0.7598242752027748
27.9,68,19.9,-0.5719614881035724,-1.0812937734390322,-0.15831562510195116
26.7,76,15.4,-0.7250691219680558,-1.637171922857747,0.5094224842105768
26.9,83,15.9,-0.7080571626497799,-1.5445255646212948,1.0936933298590388
26.7,84,15.9,-0.7080571626497799,-1.637171922857747,1.1771605935231049
28.3,71,16.9,-0.6740332440132281,-0.8960010569661263,0.09208616589024683
25.5,93,14.1,-0.7693002161955732,-2.1930500722764616,1.9283659664996988
25.6,88,22.1,-0.4971088671031581,-2.1467268931582346,1.5110296481793688
28.3,72,17.6,-0.6502165009676416,-0.8960010569661263,0.17555342955431283
28.9,71,19.9,-0.5719614881035724,-0.6180619822567698,0.09208616589024683
27.5,85,36.2,-0.01737161432777638,-1.2665864899119366,1.2606278571871707
29.3,70,16.5,-0.6876428114678487,-0.4327692657838638,0.00861890222618083
26.0,92,14.5,-0.7556906487409525,-1.9614341766853305,1.8448987028356327
27.8,83,42.0,0.1799671137642245,-1.1276169525572575,1.0936933298590388
27.8,83,22.1,-0.4971088671031581,-1.1276169525572575,1.0936933298590388
30.0,70,45.1,0.2854412615375354,-0.10850701195628039,0.00861890222618083
30.3,69,39.5,0.09490731717284477,0.0304625253983987,-0.07484836143788517
31.1,61,21.7,-0.5107184345577789,0.40104795834420903,-0.7425864707504132
30.3,69,39.9,0.10851688462746548,0.0304625253983987,-0.07484836143788517
30.8,64,17.3,-0.6604236765586072,0.26207842098952994,-0.49218467975821517
31.3,62,12.8,-0.8135313104230907,0.4936943165806612,-0.6591192070863472
30.0,65,22.7,-0.476694515921227,-0.10850701195628039,-0.4087174160941492
30.5,65,21.5,-0.5175232182850893,0.12310888363485087,-0.4087174160941492
31.2,71,29.3,-0.2521366529199845,0.4473711374624343,0.09208616589024683
29.1,84,19.7,-0.5787662718308827,-0.5254156240203159,1.1771605935231049
